home,away,home_goals,away_goals
burnley,manchester city,0,3
arsenal,nottingham forest,2,1
bournemouth,west ham,1,1
brighton hove albion,luton,4,1
everton,fulham,0,1
sheffield united,crystal palace,0,1
newcastle,aston villa,5,1
brentford,tottenham,2,2
chelsea,liverpool,1,1
manchester united,wolves,1,0
