home,away,prediction,confidence,source
Torino FC,US Sassuolo Calcio,2,72,offline
Cagliari Calcio,Udinese Calcio,1,68,offline
SS Lazio,FC Internazionale Milano,X,55,offline
US Lecce,Juventus FC,2,70,offline
Hellas Verona FC,Como 1907,1,60,offline
ACF Fiorentina,Genoa CFC,1,58,offline
US Cremonese,AC Pisa 1909,1,62,offline
Parma Calcio 1913,AS Roma,2,65,offline
AC Milan,Atalanta BC,2,66,offline
SSC Napoli,Bologna FC 1909,1,75,offline
