team,id
argentina,762
france,773
croatia,799
morocco,815
brazil,764
england,770
portugal,765
netherlands,771
spain,760
germany,759
japan,784
south korea,780
senegal,793
usa,7650
poland,794
australia,777
switzerland,805
serbia,7801
cameroon,788
ghana,790
uruguay,758
mexico,769
saudi arabia,795
tunisia,796
denmark,782
belgium,8051
canada,792
qatar,803
ecuador,791
wales,776
iran,797
