home,away,prob_1,prob_x,prob_2,tipster_pick,tipster_confidence,totofra_score
Liverpool FC,AFC Bournemouth,0.45,0.3,0.25,N/D,0,4
Aston Villa FC,Newcastle United FC,0.45,0.3,0.25,N/D,0,4
Brighton & Hove Albion FC,Fulham FC,0.45,0.3,0.25,N/D,0,4
Sunderland AFC,West Ham United FC,0.45,0.3,0.25,N/D,0,4
Tottenham Hotspur FC,Burnley FC,0.45,0.3,0.25,N/D,0,4
Wolverhampton Wanderers FC,Manchester City FC,0.45,0.3,0.25,N/D,0,4
Nottingham Forest FC,Brentford FC,0.45,0.3,0.25,N/D,0,4
Chelsea FC,Crystal Palace FC,0.45,0.3,0.25,N/D,0,4
Manchester United FC,Arsenal FC,0.45,0.3,0.25,N/D,0,4
Leeds United FC,Everton FC,0.45,0.3,0.25,N/D,0,4
